>        Total_score          EM2D_score           DSS_XL_score         EDC_XL_score             PDB_file            RMF_file
>        278.205541221         48.702446768        88.5084339603        76.1562016156            506.1.pdb           506.1.rmf3
>        278.227876276        37.3480062607         93.082383448        78.5281421575            509.1.pdb           509.1.rmf3
>        278.273144675        47.7244827957        89.6506079191        74.9936150585            519.1.pdb           519.1.rmf3
>        278.290593806        44.2846912625        87.6376175642        79.9890784505            521.1.pdb           521.1.rmf3
>        278.314731488        55.8649855176        85.6944635471        70.9311346617            524.1.pdb           524.1.rmf3
>        278.334231006        41.7471431538        86.9543101312        78.7701658393            528.1.pdb           528.1.rmf3
>        278.334255829        52.9333080847        84.0655343759        72.8006315595            529.1.pdb           529.1.rmf3
>        278.335556701         52.890237079        86.3246569076        67.9548979713            530.1.pdb           530.1.rmf3
>        278.348227883          43.14944651        100.685513205            69.843915            532.1.pdb           532.1.rmf3
>        278.361093622        37.7192623966        98.8557266809        73.9925869656            534.1.pdb           534.1.rmf3
>        278.381253199        39.4549205755        89.8513481577        80.3456810517            539.1.pdb           539.1.rmf3
>        278.381469621        38.3578074312        101.048808994        75.4920888997            540.1.pdb           540.1.rmf3
>        278.418528042        38.4779481029        97.5861368127        71.8743386167            545.1.pdb           545.1.rmf3
>        278.529329161        41.8188767403        103.035964802        69.1722250098            557.1.pdb           557.1.rmf3
>        278.551875872        31.1109743349        95.5580845081        78.4503158239            558.1.pdb           558.1.rmf3
>        278.562260048        44.2468763698        88.2846072136        79.8218854169            560.1.pdb           560.1.rmf3
>        278.641017146        36.2624877381        97.8753895062        77.6994795144            573.1.pdb           573.1.rmf3
>         278.64370643        32.7171611958        91.3131067001         80.464032632            574.1.pdb           574.1.rmf3
>        278.650797978        56.4278552882        77.7865989827        80.7926054748            575.1.pdb           575.1.rmf3
>        278.690950434        42.1122906054        88.7216883456        82.8343508055            581.1.pdb           581.1.rmf3
>        278.713899957        31.1994579668        101.081056868        84.0185777089            590.1.pdb           590.1.rmf3
>         278.75509963        35.9777485739        82.8348182241        87.5870138007            593.1.pdb           593.1.rmf3
>        278.767073606        39.7769322996         100.82530401        69.6456277138            595.1.pdb           595.1.rmf3
>        278.774888441        37.7730352611        86.7449776948        81.8315556215            597.1.pdb           597.1.rmf3
>         278.88866945        43.7702411809        87.5420496453        84.4730117122            610.1.pdb           610.1.rmf3
>         278.90518819         40.837307151        90.3138712977        78.3512018824            613.1.pdb           613.1.rmf3
>        278.937148192        43.1248594579        90.9049164817        72.8317515444            617.1.pdb           617.1.rmf3
>        278.961205269        40.4181196969         101.43292575        71.5461327112            622.1.pdb           622.1.rmf3
>        278.975777591        36.9048463362        99.8876899698         74.081679489            625.1.pdb           625.1.rmf3
>        279.057696946        44.3694248465        84.7776024672        83.1758741097            633.1.pdb           633.1.rmf3
>         279.05993663        39.2583332965        92.7421194846        80.2442016058            635.1.pdb           635.1.rmf3
